,Artist,Album
1608,No Nations,Seltzer
1609,Pinegrove,0.46597222222222223
1610,The Smile,You Will Never Work In Television Again
1611,Mother Mother,Inside (Deluxe)
1612,The Wheel Workers,S.O.S.
1613,Underpass,Deluxe Industrial
1614,Maia Friedman,Under The New Light
1615,Nation of Language,A Way Forward
1616,Johnny Payne,King of Cups
1617,Beechwood,Sleep Without Dreaming
1618,Jason Lytle,Over and Outsider
1619,Mulherin,Paper and Plastic 01
1620,Elvis Costello & The Imposters,The Boy Named If
1621,Mikayla Mcvey,Time Turns Everything
1622,Raincrowd,XXI
1623,Domine Brishawn,Nothing Personal
1624,Sam Redmore ft. Lumi HD,Party
1625,Mitski,Laurel Hell
1626,Ghostly Kisses,"Heaven, Wait"
1627,Passed Out,"Well Enough, for Now "
1628,Sweat,Gotta Give It Up
1629,Zach Tabori,Soft Boiled
1630,Alcopops,Devil EP
1631,London Exchange,I Can't Say Your Name
1632,Eels,Extreme Witchcraft
1633,Joe Kenkel,Naturale
1634,Empath,Visitor
1635,Dropper,Don't Talk To Me
1636,In The Pines,Impossible Daze
1637,Shamir,Heterosexuality
1638,Arlo Parks,Softly
1639,Softcult ,Year of the Snake
1640,Hush Club,Fingerprints & Stains
1641,Between Beach and Forest,Between Beach and Forest
1642,The Tulips,Message For The Living
1643,Cate Le Bon ,Pompeii
1644,Marissa Nadler,The Wrath of the Clouds
1645,Green Sky Accident,Finding Failure
1646,Loveseat Pete,"God Damn, Give Up"
1647,Gabriel Paz,"Green, Rough, and to the Point"
1648,Double Grave,Goodbye Nowhere!
1649,Big Thief,Dragon New Warm Mountain I Believe In You
1650,Whiting Tennis,I Do
1651,waveform*,Last Room
1652,Anxious,Little Green House
1653,Reptaliens,Multiverse
1654,Cloakroom,Dissolution Wave
1655,SPIRIT OF THE BEEHIVE,The Door
1656,Sierra Pilot,Alive
1657,Various Artists,Summer of Soul Soundtrack
1658,Landon Lloyd Miller ,Bluebonnet
1659,Bryan Jackson,All Talk
1660,Cat Dowling ,All that I can Do
1661,Hayes Howard,Lockstep/Pile
